model,distance,variable,pearson_r,pearson_p,spearman_rho,spearman_p,n,p_adj_fdr
E5-small,d_centroid,mean_conf,-0.1010484659464568,0.40871626480549295,-0.13498602461194023,0.26878530147148777,69,0.6916736789016034
E5-small,d_centroid,accuracy,-0.20160615518236985,0.09667784735371085,-0.14220858140204626,0.24376486430855274,69,0.34046967543670276
GTE-base,d_centroid,insight_rate,-0.18729752175817116,0.12330220440830848,-0.160044223647341,0.1889721716337099,69,0.3875212138546838
GTE-base,d_centroid,mean_rt,0.24408361266713718,0.04326403632649354,0.28680804265839693,0.016879864153092738,69,0.3172695997276193
GTE-base,d_centroid,mean_conf,-0.19932402938996385,0.10059331319720764,-0.2560551160660115,0.033700350151393076,69,0.34046967543670276
GTE-base,d_centroid,accuracy,-0.26266054962274654,0.029227599665349276,-0.2581225822496658,0.032242688546439656,69,0.3172695997276193
GTE-small,d_centroid,insight_rate,-0.0752763669340686,0.5387249395441613,-0.07122496787103383,0.5608564639450686,69,0.8311161342760353
GTE-small,d_centroid,mean_rt,0.21246524165585015,0.07965387190828341,0.25046136756278903,0.03792264098919176,69,0.33065024559783973
GTE-small,d_centroid,mean_conf,-0.07106991674744298,0.5617119306348605,-0.13617095325636955,0.2645665104216694,69,0.8311161342760353
GTE-small,d_centroid,accuracy,-0.1495467527343103,0.22003121028451045,-0.16564187484928677,0.17376495980817483,69,0.5378540695843589
Gemini-001,d_centroid,insight_rate,-0.06841218012112561,0.5764705266550696,-0.029485914740716636,0.8099379273045864,69,0.8311161342760353
Gemini-001,d_centroid,mean_rt,0.10508380215684232,0.39015982670476407,0.12775169442567305,0.29551841289623615,69,0.6916736789016034
Gemini-001,d_centroid,mean_conf,-0.10903187033033367,0.3724982289378424,-0.14905277775190423,0.2215760481278735,69,0.6916736789016034
Gemini-001,d_centroid,accuracy,-0.3017619511159846,0.011739809394345734,-0.30575575775239544,0.010621770785903303,69,0.3172695997276193
MPNet,d_centroid,insight_rate,-0.02878857145098465,0.8143517516204426,-0.026562899648700122,0.828477044105518,69,0.9187558223410122
MPNet,d_centroid,mean_rt,0.0042041911000122315,0.9726500638851212,-0.015747456112531123,0.8978115356386728,69,0.9798190863517849
MPNet,d_centroid,mean_conf,-0.04740283494495138,0.6989179183114523,-0.06233215806955475,0.6108882511392378,69,0.8542330112695529
MPNet,d_centroid,accuracy,-0.15639818215450144,0.19937968725324726,-0.15658655590916476,0.1988321539632274,69,0.5160415434789929
MiniLM-L6,d_centroid,insight_rate,0.017994959741941596,0.8833227003181515,0.08893273417460261,0.4674240252522982,69,0.9479560686341137
MiniLM-L6,d_centroid,mean_rt,0.0667911471076826,0.5855590946035704,0.041195491338466,0.7368055233227383,69,0.8311161342760353
MiniLM-L6,d_centroid,mean_conf,-0.038585009504557746,0.7529339880468994,-0.02807870074821385,0.8188507917322827,69,0.8718183019490414
MiniLM-L6,d_centroid,accuracy,-0.11471534137992107,0.3479401523098608,-0.11560841509662752,0.34417484237852625,69,0.6916736789016034
OpenAI-large,d_centroid,insight_rate,0.05359359362529843,0.6618478083954734,0.04384522638024779,0.7205496550973844,69,0.8542330112695529
OpenAI-large,d_centroid,mean_rt,0.02132613414860722,0.8619192004958052,0.06342826870383766,0.6046179005184605,69,0.9479560686341137
OpenAI-large,d_centroid,mean_conf,-0.005890757756508146,0.9616853427869313,-0.04325983303303214,0.7241306704616016,69,0.9798190863517849
OpenAI-large,d_centroid,accuracy,-0.21240350141930553,0.07974343676166308,-0.18744347959725005,0.1230049373842371,69,0.33065024559783973
OpenAI-small,d_centroid,insight_rate,0.07898792247068857,0.5188329019457281,0.013409331734625782,0.9129199262103261,69,0.8311161342760353
OpenAI-small,d_centroid,mean_rt,-0.1021180693728762,0.40374837312842593,-0.05858711340242148,0.6325210554325159,69,0.6916736789016034
OpenAI-small,d_centroid,mean_conf,0.04198651428479553,0.7319402330312735,-0.04547032281216934,0.7106400486960638,69,0.8704154122534065
OpenAI-small,d_centroid,accuracy,-0.10635611064517624,0.38441461247167147,-0.10015254923509988,0.41290468836198935,69,0.6916736789016034
